id,ordinalMu,score,marbles
106,0.926593617720098,354.0,247
115,0.9185038507677526,353.0,237
136,0.9129287328171414,383.0,252
94,0.9066973596727953,280.0,216
140,0.9044848269029453,308.0,232
59,0.8961580408013774,231.0,225
108,0.895462788659672,73.0,190
99,0.8927856451084834,338.0,239
125,0.8903234550022227,333.0,225
39,0.8827164158414402,319.0,231
95,0.8759187590413171,300.0,247
135,0.8703659399254449,227.0,212
199,0.867938558244223,302.0,234
180,0.8656015386783681,257.0,199
34,0.8630495131320245,298.0,218
153,0.8623555236144455,274.0,200
130,0.8600152302149098,322.0,235
33,0.8528332228594614,277.0,197
61,0.8528182444291521,302.0,227
7,0.8522104242709018,280.0,231
24,0.8393795788428223,380.0,237
148,0.8388786045447065,328.0,254
30,0.8342176217608355,388.0,250
82,0.832145566547543,262.0,211
189,0.8302142131414101,272.0,212
121,0.8297718419395087,270.0,203
101,0.8268357762201887,249.0,202
66,0.8245460552915232,240.0,202
186,0.8187326662756723,252.0,203
113,0.818049017984494,345.0,227
28,0.8171128126591954,219.0,193
139,0.8130733104201907,283.0,199
191,0.8092638186698706,320.0,222
56,0.8085002523695843,250.0,199
175,0.8083872400675038,154.0,192
62,0.7981315688061176,287.0,211
119,0.7904230653342474,265.0,211
10,0.7886461516175316,246.0,200
35,0.786193361403547,177.0,196
87,0.7860662961623457,173.0,203
14,0.7857801136660648,184.0,200
120,0.785564140577276,305.0,184
83,0.77228856619513,285.0,203
172,0.7630271825710502,189.0,173
44,0.762796441517871,214.0,192
122,0.7610816494773889,329.0,248
47,0.7570661938520603,179.0,202
173,0.7499128170414143,244.0,195
110,0.7480631554786732,220.0,191
31,0.7412136423675142,293.0,211
103,0.7292075002335108,189.0,178
100,0.7210384302401505,116.0,186
48,0.7159910947460127,167.0,167
107,0.7156924558637532,189.0,194
146,0.7141629356294941,336.0,220
158,0.7099989665580482,152.0,164
12,0.7073124291627316,216.0,172
144,0.7039072722721168,258.0,219
91,0.6987664773106903,202.0,188
32,0.6980803035728036,282.0,203
131,0.6961115853372501,327.0,225
190,0.6958883642459912,153.0,156
75,0.6844565294501964,226.0,180
5,0.678102504381883,177.0,170
25,0.6755486369948247,182.0,184
15,0.6753066429476186,158.0,161
78,0.6715308876592887,301.0,228
171,0.6703549628418406,212.0,191
84,0.6677716011937589,129.0,145
126,0.6662317467899367,207.0,182
132,0.6620187948925282,252.0,206
64,0.6607517393545019,174.0,173
151,0.6595888610293464,226.0,180
169,0.6510799111669002,180.0,169
19,0.6423782623878111,143.0,146
38,0.6396791649627372,81.0,163
29,0.6339358900616854,168.0,158
164,0.6338488135291735,147.0,184
123,0.6330655697227993,115.0,175
9,0.6186451467348921,146.0,145
92,0.6178664682103833,152.0,187
156,0.6118048223838315,138.0,165
80,0.6117367525022813,221.0,159
145,0.610289761751977,96.0,124
45,0.6096796779072224,249.0,198
161,0.6083876902627271,162.0,159
65,0.6044373594016297,200.0,186
133,0.5966724640948975,160.0,154
89,0.5927249663711269,95.0,122
168,0.5856438496915749,219.0,196
124,0.5832123257760807,138.0,145
105,0.5799081895298541,160.0,167
72,0.5791320353999583,217.0,180
138,0.569744517805761,186.0,180
176,0.5691092416605827,217.0,167
155,0.5611680796815015,72.0,120
188,0.5514080407082228,217.0,175
51,0.5388420988023019,95.0,122
177,0.5288332528510914,118.0,148
4,0.5224876474672513,164.0,158
193,0.5217690460912754,175.0,150
69,0.5171641118849287,95.0,132
174,0.5170716049369579,126.0,154
3,0.5125496254458983,81.0,124
128,0.5096498635440273,115.0,142
54,0.5073186566901753,82.0,139
23,0.5035192837126419,170.0,159
185,0.4974366312741341,128.0,158
179,0.49226202584248346,183.0,146
129,0.48499552343034236,93.0,121
181,0.4782980451995784,44.0,145
63,0.4732526210239143,83.0,138
160,0.4723109012547627,60.0,122
76,0.46501738152245536,47.0,121
184,0.4409064033482159,25.0,140
40,0.43455999917394333,75.0,132
22,0.4271238031966105,102.0,121
117,0.4254579901971932,32.0,144
27,0.41766106450558765,86.0,139
71,0.4147613770325771,68.0,113
67,0.4135916195567694,51.0,123
143,0.3941155557731659,48.0,120
192,0.3906758403985445,84.0,132
73,0.38763806359501335,115.0,145
111,0.3864180686981484,29.0,142
183,0.37064845055103945,31.0,95
154,0.36706928706879816,125.0,170
157,0.3638596917810981,63.0,108
55,0.36345916048128035,114.0,141
104,0.3498173041907919,4.0,162
88,0.33404341052878916,54.0,103
70,0.3275744554415493,35.0,95
93,0.3168229710470819,11.0,108
137,0.3008274028348058,45.0,95
197,0.22644237116611257,19.0,109
36,0.2108257136177427,9.0,107
182,0.20447770876511157,65.0,102
17,0.18796418555962408,23.0,114
195,0.15071929577623944,18.0,110
49,0.13495220132510383,58.0,102
